pair1,pair2,1h,5m,4h,1d,15m
AUDNZD,AUDUSD,16.2,25.9,54.7,75.6,-77.9
AUDNZD,CADJPY,30.9,45.9,90.7,63.4,16.7
AUDNZD,AUDJPY,24.9,54.2,73.8,86.3,-46.4
AUDNZD,NZDUSD,-20.7,-36.9,9,17,-90.6
AUDNZD,GBPUSD,9,19.4,59.9,26.7,-44.6
AUDNZD,GBPJPY,17.4,58,81.6,49.1,13.7
AUDNZD,AUDNZD,100,100,100,100,100
AUDNZD,AUDCAD,-6.5,29.1,-56.7,75.5,-80.7
AUDNZD,AUDCHF,4.9,46.2,-3.2,79.8,-61.9
AUDNZD,GBPCHF,-1.8,46.3,-12.4,26,14.2
AUDNZD,GBPCAD,-10,0.2,-61.8,12.1,-2.3
AUDNZD,USDJPY,11.6,81.1,72.8,76.7,59.7
AUDNZD,GBPNZD,41.4,61.7,54.5,17.9,88.1
AUDNZD,EURCHF,-35.9,68,76.7,61.3,-79
AUDNZD,NZDCHF,-36.9,-17.5,-62.9,11,-88.1
AUDNZD,CADCHF,6.6,33.2,69.5,36.5,22.3
AUDNZD,NZDCAD,-59,-76.3,-84.1,-12.4,-94.3
AUDNZD,EURCAD,-14.1,-8,-30.9,11.6,-66.5
AUDNZD,EURNZD,26.5,49.9,79.4,20.9,77.5
AUDNZD,GBPAUD,-8.6,-20,-7.1,-54.6,66.3
AUDNZD,EURGBP,-9.8,-11.4,51.1,-5.7,-55.5
AUDNZD,EURAUD,-15.8,-25.2,41.6,-77.4,11.6
AUDNZD,USDCAD,-28.9,-12.3,-87,-33.4,51.4
AUDNZD,USDCHF,-9.8,61.1,-75.8,-11.7,80.4
AUDCAD,EURUSD,84.4,28.2,-25.5,44.4,91.4
AUDCAD,CHFJPY,67.1,33.1,-45.2,29.3,11.5
AUDCAD,EURJPY,71,28.8,-42.5,49.7,59.6
AUDCAD,NZDJPY,45.6,15.1,25.3,67.9,83.4
AUDCAD,AUDUSD,76.9,23.8,23.6,85.6,89.7
AUDCAD,CADJPY,-18.1,-6.2,-52.4,29.7,-9.7
AUDCAD,AUDJPY,41.2,26.4,-3.9,80.9,66.1
AUDCAD,NZDUSD,78.7,4.7,59.8,55.8,91.2
AUDCAD,GBPUSD,65.3,8.7,-8.1,18.2,36.9
AUDCAD,GBPJPY,35.7,17.5,-35,27.3,-12.7
AUDCAD,AUDNZD,-6.5,29.1,-56.7,75.5,-80.7
AUDCAD,AUDCAD,100,100,100,100,100
AUDCAD,AUDCHF,-28.8,21.2,67.5,92.7,75.8
AUDCAD,GBPCHF,-31.4,5.3,20.2,17.4,-25
AUDCAD,GBPCAD,60.2,39,52.7,13.2,-8.1
AUDCAD,USDJPY,-57.8,20.5,-65.4,34.5,-51.2
AUDCAD,GBPNZD,-6.2,0.6,-73,-24.7,-92.5
AUDCAD,EURCHF,53.2,17.8,-26,61.9,79.4
AUDCAD,NZDCHF,-24,3.2,86.7,61.9,86.8
AUDCAD,CADCHF,-70.6,-21.3,-49.3,14,-29.2
AUDCAD,NZDCAD,84.3,39.1,92.2,55.6,95.7
AUDCAD,EURCAD,77.1,36.3,43.3,38.6,71.3
AUDCAD,EURNZD,40.3,4.6,-83,-37.8,-75.3
AUDCAD,GBPAUD,-3.6,-27.4,-46,-73.8,-87.5
